11101111010010011000010101001110000	11001110110010001101001110010010100	22	22	25
11111001010100011001001110001100100	11010011110011010001011110001001000	22	22	25
11100110101010110001110010001110000	11101001110100010100111001011000100	20	20	24
11101000111000110100110011101100000	11010101001101101100100111000010100	19	20	26
11101010011011001111000010101001000	11110101010011010001100011001100100	19	19	24
10111110100101001001100110010011000	11101001010101001101110100100100100	19	19	25
11011101010001011001001101010100100	10111001010100111101001000110011000	17	17	22
11010010111110000100111100100100100	11100111000110110100001111000011000	20	21	24
11110011000101010100101110001101000	11101100011010010011010010111000100	18	18	25
11001110011001100011010011110010000	11101100010110001100101110001101000	17	17	26
11100111111100010100100010001011000	11101000111101001100011001101000100	21	22	24
11100011101001100110001111001001000	10111010010100111000110011001100100	21	21	25
11110011110000011110010100001101000	11101100011011000111000011010010100	18	18	24
11101100011111001001001001010010100	11100111110001110001110100000110000	19	19	24
11110100110101001010011010010100100	11101010101001100110110001001011000	19	19	25
11110001110110000110010011110010000	10111100100111010001110010010010100	21	21	24
11110101101001100101001100011000100	11011001101001001101001111100001000	20	21	24
11001110011100111000100100110011000	11010011111001110001001001001100100	20	21	25
11101010011100011101010010110000100	10111001001111000110010011010101000	20	20	25
11011010011010010100111001011001000	11011001100011001110100101010100100	19	19	24
11111000110100011010010100110010100	11011100001111100100100011100110000	20	21	25
11100011011110100011100000110010100	11101110011001010100100110001110000	20	21	26
11111101000111100000101001100011000	11100111010010101000111010001100100	18	18	25
11100100111111000001100110001110000	11101100100101010100111100011001000	19	19	23
11111000110100101001111000010011000	11101110101001110001100001001110000	20	20	24
11110001010011011010110011001000100	11010100111011000101010011110010000	20	20	24
11100110101001100110100110011000100	10111001001111100100010011100110000	22	23	24
11101110001110100101001010100011000	11011101100100100011100110101000100	20	21	26
11111011001000010100111010100110000	11100100110110100011100101101000100	20	21	26
11110110011001011000101001100010100	11001111010101001010011011000101000	21	22	26
11110001100111001100010110100011000	11010110010011100111010000111000100	22	22	24
11011000111100001110001011001101000	11110001110011101000110000110100100	19	19	26
11011100100100111101010101001010000	11110011100010100101110001010101000	17	17	24
11110100101001110100100111000100100	11110010001110100111001001001011000	19	19	25
10111010001111100010011001100010100	11010011101001010011100100110110000	22	22	26
11100101001110101100100010111000100	11101010011011100010001101001011000	17	17	23
11110010100110011010110100011001000	11110101001010100110001110110010000	20	20	25
11100101110001001110110100100101000	11110110100011100011000100110100100	20	20	22
11111001001100010101110001100110000	11110100110001001111100010010011000	18	19	24
11111000011000111011000101100100100	11011010110011001001100110001011000	19	20	25
11011110000011001110011001010100100	11100110101010011001001100101101000	21	21	26
11011100101011000110010100110100100	10111010010011101001110001001011000	19	19	25
11101010011001010011001101001100100	11101001100110010100111000111100000	19	19	24
11100101001111010011001100101100000	11010011101101001001011101000011000	19	19	24
11110101000111011000001111000101000	11010011110101001110000101010010100	17	17	23
11011010110011001000110011001100100	11110010011110010001001101010011000	18	18	25
11111010000111110100000100111010000	11011010011001101010010011101001000	17	17	24
11001111101010001100101000110011000	11110101100010100111101000100110000	20	20	24
11101001100101100101001101110000100	11010110011011000110010011011001000	18	18	21
11111010011000010110001010110011000	11100111100100101001110110010000100	21	21	26
11111000011101100010100100110100100	11101011001001001100111110001001000	18	18	25
11101000110100111110011000100110000	11101101001001100110010011011001000	17	17	23
11111000011100010110001100101011000	11101010100101001110101100011000100	17	17	24
11100110010111000110010011100011000	11011100100110110001011101001000100	20	20	23
